CodeForces average performance (100 contests, top-50):
197.43558552260146, 0.05: 0.6160653061224489, 3.555s
197.43558552260146, 0.1: 0.6174367346938778, 3.682s
197.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.59s
197.43558552260146, 0.2: 0.6201061224489797, 4.586s
197.43558552260146, 0.25: 0.6211183673469386, 4.098s
197.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.446s
197.43558552260146, 0.35000000000000003: 0.6227428571428573, 3.9s
197.43558552260146, 0.4: 0.623412244897959, 4.876s
197.43558552260146, 0.45: 0.6237632653061224, 4.956s
197.43558552260146, 0.5: 0.6243510204081633, 6.701s
197.43558552260146, 0.55: 0.624342857142857, 5.73s
197.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.808s
197.43558552260146, 0.65: 0.6249551020408165, 5.225s
197.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.325s
197.43558552260146, 0.75: 0.6253061224489795, 5.057s
197.43558552260146, 0.8: 0.6248734693877551, 5.472s
197.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.342s
197.43558552260146, 0.9: 0.624669387755102, 4.854s
197.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.708s
212.43558552260146, 0.05: 0.6160653061224489, 3.451s
212.43558552260146, 0.1: 0.6174367346938778, 3.867s
212.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.498s
212.43558552260146, 0.2: 0.6201061224489797, 4.19s
212.43558552260146, 0.25: 0.6211183673469386, 4.132s
212.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.502s
212.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.684s
212.43558552260146, 0.4: 0.623412244897959, 4.368s
212.43558552260146, 0.45: 0.6237632653061224, 4.161s
212.43558552260146, 0.5: 0.6243510204081633, 5.366s
212.43558552260146, 0.55: 0.624342857142857, 5.47s
212.43558552260146, 0.6000000000000001: 0.6244897959183673, 6.195s
212.43558552260146, 0.65: 0.6249551020408165, 5.747s
212.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.12s
212.43558552260146, 0.75: 0.6253061224489795, 4.757s
212.43558552260146, 0.8: 0.6248734693877551, 4.692s
212.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.368s
212.43558552260146, 0.9: 0.624669387755102, 5.657s
212.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.442s
227.43558552260146, 0.05: 0.6160653061224489, 4.624s
227.43558552260146, 0.1: 0.6174367346938778, 3.43s
227.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.526s
227.43558552260146, 0.2: 0.6201061224489797, 4.504s
227.43558552260146, 0.25: 0.6211183673469386, 3.897s
227.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.042s
227.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.204s
227.43558552260146, 0.4: 0.623412244897959, 4.709s
227.43558552260146, 0.45: 0.6237632653061224, 4.219s
227.43558552260146, 0.5: 0.6243510204081633, 4.524s
227.43558552260146, 0.55: 0.624342857142857, 5.432s
227.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.825s
227.43558552260146, 0.65: 0.6249551020408165, 5.648s
227.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.951s
227.43558552260146, 0.75: 0.6253061224489795, 4.674s
227.43558552260146, 0.8: 0.6248734693877551, 4.808s
227.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.132s
227.43558552260146, 0.9: 0.624669387755102, 5.376s
227.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.377s
242.43558552260146, 0.05: 0.6160653061224489, 4.909s
242.43558552260146, 0.1: 0.6174367346938778, 4.742s
242.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.808s
242.43558552260146, 0.2: 0.6201061224489797, 4.701s
242.43558552260146, 0.25: 0.6211183673469386, 4.89s
242.43558552260146, 0.30000000000000004: 0.6217551020408162, 5.817s
242.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.485s
242.43558552260146, 0.4: 0.623412244897959, 4.717s
242.43558552260146, 0.45: 0.6237632653061224, 4.778s
242.43558552260146, 0.5: 0.6243510204081633, 7.126s
242.43558552260146, 0.55: 0.624342857142857, 5.654s
242.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.08s
242.43558552260146, 0.65: 0.6249551020408165, 6.923s
242.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.824s
242.43558552260146, 0.75: 0.6253061224489795, 5.752s
242.43558552260146, 0.8: 0.6248734693877551, 4.867s
242.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.944s
242.43558552260146, 0.9: 0.624669387755102, 5.039s
242.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.238s
257.43558552260146, 0.05: 0.6160653061224489, 4.721s
257.43558552260146, 0.1: 0.6174367346938778, 3.803s
257.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.906s
257.43558552260146, 0.2: 0.6201061224489797, 3.927s
257.43558552260146, 0.25: 0.6211183673469386, 4.145s
257.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.014s
257.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.201s
257.43558552260146, 0.4: 0.623412244897959, 5.013s
257.43558552260146, 0.45: 0.6237632653061224, 4.257s
257.43558552260146, 0.5: 0.6243510204081633, 5.13s
257.43558552260146, 0.55: 0.624342857142857, 5.662s
257.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.328s
257.43558552260146, 0.65: 0.6249551020408165, 5.547s
257.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.464s
257.43558552260146, 0.75: 0.6253061224489795, 5.161s
257.43558552260146, 0.8: 0.6248734693877551, 4.735s
257.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.789s
257.43558552260146, 0.9: 0.624669387755102, 4.882s
257.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.599s
272.43558552260146, 0.05: 0.6160653061224489, 3.387s
272.43558552260146, 0.1: 0.6174367346938778, 3.41s
272.43558552260146, 0.15000000000000002: 0.6190775510204083, 5.105s
272.43558552260146, 0.2: 0.6201061224489797, 4.377s
272.43558552260146, 0.25: 0.6211183673469386, 4.428s
272.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.979s
272.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.32s
272.43558552260146, 0.4: 0.623412244897959, 4.102s
272.43558552260146, 0.45: 0.6237632653061224, 4.171s
272.43558552260146, 0.5: 0.6243510204081633, 5.442s
272.43558552260146, 0.55: 0.624342857142857, 5.387s
272.43558552260146, 0.6000000000000001: 0.6244897959183673, 5.902s
272.43558552260146, 0.65: 0.6249551020408165, 5.472s
272.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.85s
272.43558552260146, 0.75: 0.6253061224489795, 6.048s
272.43558552260146, 0.8: 0.6248734693877551, 6.112s
272.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.023s
272.43558552260146, 0.9: 0.624669387755102, 4.834s
272.43558552260146, 0.9500000000000001: 0.6244489795918364, 5.617s
287.43558552260146, 0.05: 0.6160653061224489, 4.315s
287.43558552260146, 0.1: 0.6174367346938778, 4.719s
