CodeForces average performance (50 contests, top-50):
197.43558552260146, 0.05: 0.6487183673469388, 1.483s
197.43558552260146, 0.1: 0.6486530612244897, 1.608s
197.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.17s
197.43558552260146, 0.2: 0.6495510204081633, 1.053s
197.43558552260146, 0.25: 0.6496489795918365, 1.019s
197.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.045s
197.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.046s
197.43558552260146, 0.4: 0.651673469387755, 1.11s
197.43558552260146, 0.45: 0.6512163265306122, 1.061s
197.43558552260146, 0.5: 0.6519673469387754, 1.085s
197.43558552260146, 0.55: 0.6509714285714284, 1.136s
197.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.11s
197.43558552260146, 0.65: 0.650269387755102, 1.087s
197.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.103s
197.43558552260146, 0.75: 0.6499428571428573, 1.246s
197.43558552260146, 0.8: 0.6493551020408163, 1.22s
197.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.515s
197.43558552260146, 0.9: 0.6490448979591839, 1.244s
197.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.095s
212.43558552260146, 0.05: 0.6487183673469388, 0.892s
212.43558552260146, 0.1: 0.6486530612244897, 0.939s
212.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.967s
212.43558552260146, 0.2: 0.6495510204081633, 0.975s
212.43558552260146, 0.25: 0.6496489795918365, 1.016s
212.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.012s
212.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.039s
212.43558552260146, 0.4: 0.651673469387755, 1.147s
212.43558552260146, 0.45: 0.6512163265306122, 1.049s
212.43558552260146, 0.5: 0.6519673469387754, 1.08s
212.43558552260146, 0.55: 0.6509714285714284, 1.252s
212.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.165s
212.43558552260146, 0.65: 0.650269387755102, 1.136s
212.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.096s
212.43558552260146, 0.75: 0.6499428571428573, 1.087s
212.43558552260146, 0.8: 0.6493551020408163, 1.098s
212.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.121s
212.43558552260146, 0.9: 0.6490448979591839, 1.121s
212.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.112s
227.43558552260146, 0.05: 0.6487183673469388, 0.883s
227.43558552260146, 0.1: 0.6486530612244897, 0.926s
227.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.965s
227.43558552260146, 0.2: 0.6495510204081633, 0.98s
227.43558552260146, 0.25: 0.6496489795918365, 0.996s
227.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.027s
227.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.218s
227.43558552260146, 0.4: 0.651673469387755, 1.215s
227.43558552260146, 0.45: 0.6512163265306122, 1.14s
227.43558552260146, 0.5: 0.6519673469387754, 1.071s
227.43558552260146, 0.55: 0.6509714285714284, 1.07s
227.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.079s
227.43558552260146, 0.65: 0.650269387755102, 1.076s
227.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.086s
227.43558552260146, 0.75: 0.6499428571428573, 1.096s
227.43558552260146, 0.8: 0.6493551020408163, 1.143s
227.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.135s
227.43558552260146, 0.9: 0.6490448979591839, 1.107s
227.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.11s
242.43558552260146, 0.05: 0.6487183673469388, 0.903s
242.43558552260146, 0.1: 0.6486530612244897, 1.004s
242.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.195s
242.43558552260146, 0.2: 0.6495510204081633, 1.196s
242.43558552260146, 0.25: 0.6496489795918365, 1.035s
242.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.038s
242.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.03s
242.43558552260146, 0.4: 0.651673469387755, 1.029s
242.43558552260146, 0.45: 0.6512163265306122, 1.049s
242.43558552260146, 0.5: 0.6519673469387754, 1.081s
242.43558552260146, 0.55: 0.6509714285714284, 1.065s
242.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.093s
242.43558552260146, 0.65: 0.650269387755102, 1.074s
242.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.078s
242.43558552260146, 0.75: 0.6499428571428573, 1.092s
242.43558552260146, 0.8: 0.6493551020408163, 1.08s
242.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.26s
242.43558552260146, 0.9: 0.6490448979591839, 1.203s
242.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.148s
257.43558552260146, 0.05: 0.6487183673469388, 0.892s
257.43558552260146, 0.1: 0.6486530612244897, 0.932s
257.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.953s
257.43558552260146, 0.2: 0.6495510204081633, 0.978s
257.43558552260146, 0.25: 0.6496489795918365, 0.991s
257.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.065s
257.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.051s
257.43558552260146, 0.4: 0.651673469387755, 1.04s
257.43558552260146, 0.45: 0.6512163265306122, 1.04s
257.43558552260146, 0.5: 0.6519673469387754, 1.068s
257.43558552260146, 0.55: 0.6509714285714284, 1.06s
257.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.068s
257.43558552260146, 0.65: 0.650269387755102, 1.192s
257.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.328s
257.43558552260146, 0.75: 0.6499428571428573, 1.179s
257.43558552260146, 0.8: 0.6493551020408163, 1.11s
257.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.095s
257.43558552260146, 0.9: 0.6490448979591839, 1.17s
257.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.113s
272.43558552260146, 0.05: 0.6487183673469388, 0.892s
272.43558552260146, 0.1: 0.6486530612244897, 0.937s
272.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.958s
272.43558552260146, 0.2: 0.6495510204081633, 0.985s
272.43558552260146, 0.25: 0.6496489795918365, 0.998s
272.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.007s
272.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.024s
272.43558552260146, 0.4: 0.651673469387755, 1.096s
272.43558552260146, 0.45: 0.6512163265306122, 1.169s
272.43558552260146, 0.5: 0.6519673469387754, 1.209s
272.43558552260146, 0.55: 0.6509714285714284, 1.109s
272.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.088s
272.43558552260146, 0.65: 0.650269387755102, 1.083s
272.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.082s
272.43558552260146, 0.75: 0.6499428571428573, 1.088s
272.43558552260146, 0.8: 0.6493551020408163, 1.108s
272.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.12s
272.43558552260146, 0.9: 0.6490448979591839, 1.086s
272.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.1s
287.43558552260146, 0.05: 0.6487183673469388, 0.91s
287.43558552260146, 0.1: 0.6486530612244897, 0.926s
287.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.969s
287.43558552260146, 0.2: 0.6495510204081633, 0.986s
287.43558552260146, 0.25: 0.6496489795918365, 1.115s
287.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.176s
287.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.098s
287.43558552260146, 0.4: 0.651673469387755, 1.081s
287.43558552260146, 0.45: 0.6512163265306122, 1.055s
287.43558552260146, 0.5: 0.6519673469387754, 1.13s
287.43558552260146, 0.55: 0.6509714285714284, 1.072s
287.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.057s
287.43558552260146, 0.65: 0.650269387755102, 1.083s
287.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.087s
287.43558552260146, 0.75: 0.6499428571428573, 1.081s
287.43558552260146, 0.8: 0.6493551020408163, 1.089s
287.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.125s
287.43558552260146, 0.9: 0.6490448979591839, 1.095s
287.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.101s
302.43558552260146, 0.05: 0.6487183673469388, 1.052s
302.43558552260146, 0.1: 0.6486530612244897, 1.015s
302.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.026s
302.43558552260146, 0.2: 0.6495510204081633, 0.998s
302.43558552260146, 0.25: 0.6496489795918365, 1.046s
302.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.121s
302.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.109s
302.43558552260146, 0.4: 0.651673469387755, 1.041s
302.43558552260146, 0.45: 0.6512163265306122, 1.068s
302.43558552260146, 0.5: 0.6519673469387754, 1.058s
302.43558552260146, 0.55: 0.6509714285714284, 1.063s
302.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.146s
302.43558552260146, 0.65: 0.650269387755102, 1.078s
302.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.079s
302.43558552260146, 0.75: 0.6499428571428573, 1.112s
302.43558552260146, 0.8: 0.6493551020408163, 1.3s
302.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.195s
302.43558552260146, 0.9: 0.6490448979591839, 1.159s
302.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.102s
317.43558552260146, 0.05: 0.6487183673469388, 0.888s
317.43558552260146, 0.1: 0.6486530612244897, 0.925s
317.43558552260146, 0.15000000000000002: 0.6495020408163265, 0.964s
317.43558552260146, 0.2: 0.6495510204081633, 0.986s
317.43558552260146, 0.25: 0.6496489795918365, 1.001s
317.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.01s
317.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.123s
317.43558552260146, 0.4: 0.651673469387755, 1.229s
317.43558552260146, 0.45: 0.6512163265306122, 1.159s
317.43558552260146, 0.5: 0.6519673469387754, 2.185s
317.43558552260146, 0.55: 0.6509714285714284, 1.731s
317.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.831s
317.43558552260146, 0.65: 0.650269387755102, 1.897s
317.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.491s
317.43558552260146, 0.75: 0.6499428571428573, 1.33s
317.43558552260146, 0.8: 0.6493551020408163, 1.369s
317.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.742s
317.43558552260146, 0.9: 0.6490448979591839, 1.529s
317.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.47s
332.43558552260146, 0.05: 0.6487183673469388, 1.273s
332.43558552260146, 0.1: 0.6486530612244897, 1.987s
332.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.554s
332.43558552260146, 0.2: 0.6495510204081633, 1.506s
332.43558552260146, 0.25: 0.6496489795918365, 1.008s
332.43558552260146, 0.30000000000000004: 0.6503999999999999, 0.994s
332.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.01s
332.43558552260146, 0.4: 0.651673469387755, 1.033s
332.43558552260146, 0.45: 0.6512163265306122, 1.037s
332.43558552260146, 0.5: 0.6519673469387754, 1.026s
332.43558552260146, 0.55: 0.6509714285714284, 1.04s
332.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.051s
332.43558552260146, 0.65: 0.650269387755102, 1.039s
332.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.054s
332.43558552260146, 0.75: 0.6499428571428573, 1.126s
332.43558552260146, 0.8: 0.6493551020408163, 1.224s
332.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.099s
