CodeForces average performance (50 contests, top-50):
147.43558552260146, 0.1: 0.6486530612244897, 0.987s
147.43558552260146, 0.2: 0.6495510204081633, 1.086s
147.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.131s
147.43558552260146, 0.4: 0.651673469387755, 1.058s
147.43558552260146, 0.5: 0.6519673469387754, 1.125s
147.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.075s
147.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.179s
147.43558552260146, 0.8: 0.6493551020408163, 1.248s
147.43558552260146, 0.9: 0.6490448979591839, 1.134s
147.43558552260146, 1: 0.648538775510204, 1.205s
147.43558552260146, 1.1: 0.6493061224489795, 1.17s
147.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.297s
147.43558552260146, 1.3: 0.6490938775510203, 1.233s
147.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.159s
147.43558552260146, 1.5: 0.6488816326530613, 1.216s
147.43558552260146, 1.6: 0.6487999999999999, 1.214s
147.43558552260146, 1.7000000000000002: 0.649208163265306, 1.203s
147.43558552260146, 1.8: 0.6494204081632654, 1.514s
147.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.182s
167.43558552260146, 0.1: 0.6486530612244897, 0.969s
167.43558552260146, 0.2: 0.6495510204081633, 0.979s
167.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.029s
167.43558552260146, 0.4: 0.651673469387755, 1.259s
167.43558552260146, 0.5: 0.6519673469387754, 1.185s
167.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.249s
167.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.143s
167.43558552260146, 0.8: 0.6493551020408163, 1.143s
167.43558552260146, 0.9: 0.6490448979591839, 1.15s
167.43558552260146, 1: 0.648538775510204, 1.105s
167.43558552260146, 1.1: 0.6493061224489795, 1.047s
167.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.184s
167.43558552260146, 1.3: 0.6490938775510203, 1.279s
167.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.288s
167.43558552260146, 1.5: 0.6488816326530613, 1.396s
167.43558552260146, 1.6: 0.6487999999999999, 1.582s
167.43558552260146, 1.7000000000000002: 0.649208163265306, 1.607s
167.43558552260146, 1.8: 0.6494204081632654, 1.289s
167.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.395s
187.43558552260146, 0.1: 0.6486530612244897, 1.312s
187.43558552260146, 0.2: 0.6495510204081633, 1.256s
187.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.021s
187.43558552260146, 0.4: 0.651673469387755, 1.295s
187.43558552260146, 0.5: 0.6519673469387754, 1.13s
187.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.254s
187.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.246s
187.43558552260146, 0.8: 0.6493551020408163, 1.244s
187.43558552260146, 0.9: 0.6490448979591839, 1.044s
187.43558552260146, 1: 0.648538775510204, 1.089s
187.43558552260146, 1.1: 0.6493061224489795, 1.295s
187.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.244s
187.43558552260146, 1.3: 0.6490938775510203, 1.325s
187.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.364s
187.43558552260146, 1.5: 0.6488816326530613, 1.168s
187.43558552260146, 1.6: 0.6487999999999999, 1.301s
187.43558552260146, 1.7000000000000002: 0.649208163265306, 1.503s
187.43558552260146, 1.8: 0.6494204081632654, 2.033s
187.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.865s
207.43558552260146, 0.1: 0.6486530612244897, 1.433s
207.43558552260146, 0.2: 0.6495510204081633, 1.288s
207.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.205s
207.43558552260146, 0.4: 0.651673469387755, 1.165s
207.43558552260146, 0.5: 0.6519673469387754, 1.149s
207.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.138s
207.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.129s
207.43558552260146, 0.8: 0.6493551020408163, 1.164s
207.43558552260146, 0.9: 0.6490448979591839, 1.305s
207.43558552260146, 1: 0.648538775510204, 1.38s
207.43558552260146, 1.1: 0.6493061224489795, 1.156s
207.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.226s
207.43558552260146, 1.3: 0.6490938775510203, 1.169s
207.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.333s
207.43558552260146, 1.5: 0.6488816326530613, 1.167s
207.43558552260146, 1.6: 0.6487999999999999, 1.197s
207.43558552260146, 1.7000000000000002: 0.649208163265306, 1.186s
207.43558552260146, 1.8: 0.6494204081632654, 1.16s
207.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.215s
227.43558552260146, 0.1: 0.6486530612244897, 1.405s
227.43558552260146, 0.2: 0.6495510204081633, 1.104s
227.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.083s
227.43558552260146, 0.4: 0.651673469387755, 1.141s
227.43558552260146, 0.5: 0.6519673469387754, 1.178s
227.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.168s
227.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.118s
227.43558552260146, 0.8: 0.6493551020408163, 1.343s
227.43558552260146, 0.9: 0.6490448979591839, 1.266s
227.43558552260146, 1: 0.648538775510204, 1.173s
227.43558552260146, 1.1: 0.6493061224489795, 1.142s
227.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.158s
227.43558552260146, 1.3: 0.6490938775510203, 1.169s
227.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.167s
